timestamp,symbol,field,value,is_override,user_id
2025-05-11T18:44:32.112369,TYM5,bid_edge,-7.0,False,
2025-05-11T18:44:32.112369,TYM5,ask_edge,-7.0,False,
2025-05-11T18:44:32.112369,TYM5,bid_q,9,False,
2025-05-11T18:44:32.112369,TYM5,ask_q,5,False,
2025-05-11T18:44:32.112369,NQM5,bid_edge,-10.02,False,
2025-05-11T18:44:32.112369,NQM5,ask_edge,-7.8,False,
2025-05-11T18:44:32.112369,NQM5,bid_q,6,False,
2025-05-11T18:44:32.112369,NQM5,ask_q,8,False,
2025-05-11T18:44:32.112369,ESM5,bid_edge,-11.18,False,
2025-05-11T18:44:32.112369,ESM5,ask_edge,-8.74,False,
2025-05-11T18:44:32.112369,ESM5,bid_q,2,False,
2025-05-11T18:44:32.112369,ESM5,ask_q,8,False,
2025-05-11T18:44:32.112369,TUM5,bid_edge,-11.26,False,
2025-05-11T18:44:32.112369,TUM5,ask_edge,-12.07,False,
2025-05-11T18:44:32.112369,TUM5,bid_q,3,False,
2025-05-11T18:44:32.112369,TUM5,ask_q,2,False,
2025-05-11T18:44:33.131824,TYM5,bid_edge,-5.16,False,
2025-05-11T18:44:33.131824,TYM5,ask_edge,-4.78,False,
2025-05-11T18:44:33.131824,TYM5,bid_q,5,False,
2025-05-11T18:44:33.131824,TYM5,ask_q,3,False,
2025-05-11T18:44:33.131824,NQM5,bid_edge,-7.97,False,
2025-05-11T18:44:33.131824,NQM5,ask_edge,-8.49,False,
2025-05-11T18:44:33.131824,NQM5,bid_q,7,False,
2025-05-11T18:44:33.131824,NQM5,ask_q,4,False,
2025-05-11T18:44:33.131824,ESM5,bid_edge,-9.35,False,
2025-05-11T18:44:33.131824,ESM5,ask_edge,-7.71,False,
2025-05-11T18:44:33.131824,ESM5,bid_q,8,False,
2025-05-11T18:44:33.131824,ESM5,ask_q,5,False,
2025-05-11T18:44:33.131824,TUM5,bid_edge,-12.02,False,
2025-05-11T18:44:33.131824,TUM5,ask_edge,-10.39,False,
2025-05-11T18:44:33.131824,TUM5,bid_q,4,False,
2025-05-11T18:44:33.131824,TUM5,ask_q,8,False,
2025-05-11T18:44:34.137588,TYM5,bid_edge,-3.76,False,
2025-05-11T18:44:34.137588,TYM5,ask_edge,-4.32,False,
2025-05-11T18:44:34.137588,TYM5,bid_q,3,False,
2025-05-11T18:44:34.137588,TYM5,ask_q,6,False,
2025-05-11T18:44:34.137588,NQM5,bid_edge,-7.78,False,
2025-05-11T18:44:34.137588,NQM5,ask_edge,-11.25,False,
2025-05-11T18:44:34.137588,NQM5,bid_q,3,False,
2025-05-11T18:44:34.137588,NQM5,ask_q,2,False,
2025-05-11T18:44:34.137588,ESM5,bid_edge,-7.75,False,
2025-05-11T18:44:34.137588,ESM5,ask_edge,-9.41,False,
2025-05-11T18:44:34.137588,ESM5,bid_q,5,False,
2025-05-11T18:44:34.137588,ESM5,ask_q,2,False,
2025-05-11T18:44:34.137588,TUM5,bid_edge,-10.85,False,
2025-05-11T18:44:34.137588,TUM5,ask_edge,-8.63,False,
2025-05-11T18:44:34.137588,TUM5,bid_q,8,False,
2025-05-11T18:44:34.137588,TUM5,ask_q,6,False,
2025-05-11T18:44:35.147319,TYM5,bid_edge,-3.44,False,
2025-05-11T18:44:35.147319,TYM5,ask_edge,-4.96,False,
2025-05-11T18:44:35.147319,TYM5,bid_q,7,False,
2025-05-11T18:44:35.147319,TYM5,ask_q,5,False,
2025-05-11T18:44:35.147319,NQM5,bid_edge,-9.67,False,
2025-05-11T18:44:35.147319,NQM5,ask_edge,-11.54,False,
2025-05-11T18:44:35.147319,NQM5,bid_q,4,False,
2025-05-11T18:44:35.147319,NQM5,ask_q,8,False,
2025-05-11T18:44:35.147319,ESM5,bid_edge,-8.85,False,
2025-05-11T18:44:35.147319,ESM5,ask_edge,-11.29,False,
2025-05-11T18:44:35.147319,ESM5,bid_q,2,False,
2025-05-11T18:44:35.147319,ESM5,ask_q,8,False,
2025-05-11T18:44:35.147319,TUM5,bid_edge,-9.25,False,
2025-05-11T18:44:35.147319,TUM5,ask_edge,-8.27,False,
2025-05-11T18:44:35.147319,TUM5,bid_q,4,False,
2025-05-11T18:44:35.147319,TUM5,ask_q,3,False,
2025-05-11T18:44:36.164223,TYM5,bid_edge,-3.9,False,
2025-05-11T18:44:36.164223,TYM5,ask_edge,-4.86,False,
2025-05-11T18:44:36.164223,TYM5,bid_q,4,False,
2025-05-11T18:44:36.164223,TYM5,ask_q,3,False,
2025-05-11T18:44:36.164223,NQM5,bid_edge,-11.53,False,
2025-05-11T18:44:36.164223,NQM5,ask_edge,-11.35,False,
2025-05-11T18:44:36.164223,NQM5,bid_q,8,False,
2025-05-11T18:44:36.164223,NQM5,ask_q,4,False,
2025-05-11T18:44:36.164223,ESM5,bid_edge,-10.6,False,
2025-05-11T18:44:36.164223,ESM5,ask_edge,-11.48,False,
2025-05-11T18:44:36.164223,ESM5,bid_q,7,False,
2025-05-11T18:44:36.164223,ESM5,ask_q,7,False,
2025-05-11T18:44:36.164223,TUM5,bid_edge,-7.87,False,
2025-05-11T18:44:36.164223,TUM5,ask_edge,-9.69,False,
2025-05-11T18:44:36.164223,TUM5,bid_q,2,False,
2025-05-11T18:44:36.164223,TUM5,ask_q,8,False,
2025-05-11T18:44:37.186192,TYM5,bid_edge,-4.54,False,
2025-05-11T18:44:37.186192,TYM5,ask_edge,-4.66,False,
2025-05-11T18:44:37.186192,TYM5,bid_q,2,False,
2025-05-11T18:44:37.186192,TYM5,ask_q,7,False,
2025-05-11T18:44:37.186192,NQM5,bid_edge,-12.1,False,
2025-05-11T18:44:37.186192,NQM5,ask_edge,-8.96,False,
2025-05-11T18:44:37.186192,NQM5,bid_q,2,False,
2025-05-11T18:44:37.186192,NQM5,ask_q,4,False,
2025-05-11T18:44:37.186192,ESM5,bid_edge,-11.4,False,
2025-05-11T18:44:37.186192,ESM5,ask_edge,-10.66,False,
2025-05-11T18:44:37.186192,ESM5,bid_q,6,False,
2025-05-11T18:44:37.186192,ESM5,ask_q,2,False,
2025-05-11T18:44:37.186192,TUM5,bid_edge,-9.0,False,
2025-05-11T18:44:37.186192,TUM5,ask_edge,-11.97,False,
2025-05-11T18:44:37.186192,TUM5,bid_q,7,False,
2025-05-11T18:44:37.186192,TUM5,ask_q,5,False,
2025-05-11T18:44:38.196499,TYM5,bid_edge,-4.9,False,
2025-05-11T18:44:38.196499,TYM5,ask_edge,-3.61,False,
2025-05-11T18:44:38.196499,TYM5,bid_q,8,False,
2025-05-11T18:44:38.196499,TYM5,ask_q,7,False,
2025-05-11T18:44:38.196499,NQM5,bid_edge,-9.95,False,
2025-05-11T18:44:38.196499,NQM5,ask_edge,-7.89,False,
2025-05-11T18:44:38.196499,NQM5,bid_q,4,False,
2025-05-11T18:44:38.196499,NQM5,ask_q,9,False,
2025-05-11T18:44:38.196499,ESM5,bid_edge,-11.29,False,
2025-05-11T18:44:38.196499,ESM5,ask_edge,-8.52,False,
2025-05-11T18:44:38.196499,ESM5,bid_q,2,False,
2025-05-11T18:44:38.196499,ESM5,ask_q,6,False,
2025-05-11T18:44:38.196499,TUM5,bid_edge,-10.22,False,
2025-05-11T18:44:38.196499,TUM5,ask_edge,-11.52,False,
2025-05-11T18:44:38.196499,TUM5,bid_q,5,False,
2025-05-11T18:44:38.196499,TUM5,ask_q,3,False,
2025-05-11T18:44:39.205562,TYM5,bid_edge,-4.04,False,
2025-05-11T18:44:39.205562,TYM5,ask_edge,-3.19,False,
2025-05-11T18:44:39.205562,TYM5,bid_q,5,False,
2025-05-11T18:44:39.205562,TYM5,ask_q,1,False,
2025-05-11T18:44:39.205562,NQM5,bid_edge,-8.63,False,
